iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_train_en_params_dist,task_train_tail_params_dist,task_test_acc_pre_optim,task_test_acc_post_optim,task_test_en_params_dist,task_test_tail_params_dist
10,0.098000005,0.096,nan,0.0053520733,0.092,0.096,nan,0.006204006
20,0.11200001,0.13200001,nan,0.009611714,0.088000014,0.08,nan,0.009127076
30,0.124,0.136,nan,0.009077779,0.1,0.084,nan,0.007860238
40,0.08400001,0.104,nan,0.017865151,0.13200001,0.156,nan,0.0138480365
50,0.11200001,0.12,nan,0.020009097,0.111999996,0.116000004,nan,0.052492715
60,0.13200001,0.13200001,nan,0.030014675,0.16,0.18,nan,0.037441462
70,0.136,0.11200001,nan,0.03564096,0.08400001,0.14,nan,0.059001047
80,0.108,0.12,nan,0.042169634,0.103999995,0.092,nan,0.023358429
90,0.111999996,0.124000005,nan,0.084624305,0.1,0.124,nan,0.11525373
100,0.128,0.108,nan,0.047359347,0.1,0.12,nan,0.117153905
110,0.14000002,0.16399999,nan,0.04472084,0.1,0.18,nan,0.08224068
120,0.128,0.172,nan,0.12414483,0.14799999,0.128,nan,0.11032792
130,0.103999995,0.144,nan,0.05273488,0.09200001,0.14800002,nan,0.12800245
140,0.128,0.16399999,nan,0.14148697,0.15200001,0.16399999,nan,0.15297581
150,0.10800001,0.15200001,nan,0.17881338,0.1,0.14,nan,0.22828445
160,0.1,0.14400001,nan,0.16364416,0.088,0.14,nan,0.2080504
170,0.108,0.15200001,nan,0.2124528,0.116000004,0.156,nan,0.20863537
180,0.1,0.156,nan,0.17526725,0.096,0.13200001,nan,0.13160591
190,0.108,0.184,nan,0.09798933,0.116000004,0.172,nan,0.20848314
200,0.16,0.176,nan,0.14129044,0.1,0.156,nan,0.15269168
210,0.14,0.2,nan,0.12614813,0.103999995,0.16800001,nan,0.18938074
220,0.172,0.16800001,nan,0.24019393,0.1,0.184,nan,0.22643256
230,0.156,0.22,nan,0.1644561,0.08000001,0.136,nan,0.2776373
240,0.172,0.22799999,nan,0.18107904,0.111999996,0.184,nan,0.21141744
250,0.12799999,0.20400001,nan,0.20431256,0.12,0.188,nan,0.26641116
260,0.116000004,0.22400002,nan,0.2002672,0.09200001,0.188,nan,0.22383651
270,0.176,0.252,nan,0.26519784,0.11200001,0.204,nan,0.20667866
280,0.124,0.28000003,nan,0.2997401,0.111999996,0.22400002,nan,0.22807202
290,0.136,0.288,nan,0.2342793,0.09200001,0.22400002,nan,0.23642166
300,0.15200001,0.288,nan,0.29078978,0.12,0.216,nan,0.23011208
310,0.124,0.344,nan,0.21347818,0.096,0.21200001,nan,0.19309382
320,0.192,0.308,nan,0.301373,0.108,0.24000002,nan,0.4223364
330,0.16,0.324,nan,0.288431,0.076,0.236,nan,0.31978816
340,0.16,0.38799998,nan,0.27522153,0.096,0.288,nan,0.30562526
350,0.176,0.32799998,nan,0.25989953,0.176,0.3,nan,0.35628384
360,0.18400002,0.372,nan,0.28699934,0.055999998,0.26400003,nan,0.3334629
370,0.176,0.38800004,nan,0.2722761,0.128,0.244,nan,0.30168578
380,0.14,0.33600003,nan,0.25938916,0.14000002,0.26,nan,0.32478136
390,0.2,0.348,nan,0.2725548,0.08799999,0.284,nan,0.30578572
400,0.18800001,0.36400002,nan,0.22566433,0.132,0.23200001,nan,0.2764739
410,0.192,0.41599998,nan,0.30162555,0.076000005,0.288,nan,0.28980654
420,0.2,0.312,nan,0.338634,0.044,0.296,nan,0.33011034
430,0.144,0.4,nan,0.33689484,0.12400001,0.272,nan,0.3626112
440,0.19600002,0.35600004,nan,0.34548125,0.13200001,0.3,nan,0.3837063
450,0.176,0.396,nan,0.37534124,0.12,0.32799998,nan,0.3368106
460,0.18800001,0.39200005,nan,0.31221417,0.124000005,0.27999997,nan,0.3918223
470,0.23200001,0.432,nan,0.31521177,0.108,0.3,nan,0.33664292
