iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_train_en_params_dist,task_train_tail_params_dist,task_test_loss_pre_optim,task_test_loss_post_optim,task_test_en_params_dist,task_test_tail_params_dist
10,12.241625,4.127888,8.983583,3.453823,12.61164,3.2841756,8.446916,3.4707286
20,13.083171,3.4678705,4.8324966,3.6357884,11.373527,3.8886845,4.549372,3.654139
30,13.716939,3.2128906,2.759433,3.8610134,12.717738,3.6090991,2.6259909,3.8844585
40,13.077759,3.2981353,1.780055,4.1250906,13.8514385,3.9762583,1.714558,4.155078
50,13.72692,3.8694754,1.2667904,4.432269,14.284855,4.320126,1.2283227,4.4674506
60,14.891661,3.225385,0.9443165,4.7855234,13.831491,3.6875422,0.91869867,4.8207293
70,12.2473545,3.066541,0.73470247,5.181315,13.229583,3.581932,0.72033083,5.2216578
80,12.92302,3.4964602,0.60936964,5.5479207,12.627533,3.4311435,0.5949359,5.5777483
90,13.907031,3.5282378,0.5067128,5.9029207,14.798934,3.3379288,0.49896258,5.941859
100,15.905298,3.527682,0.43535462,6.314136,15.763739,3.8779745,0.42892584,6.357535
110,16.442554,3.3984785,0.3760891,6.771956,14.469807,3.1963122,0.37088305,6.8210425
120,16.792198,3.0112944,0.32899767,7.2903137,16.219288,3.1634696,0.32495227,7.3450384
130,15.434968,3.439519,0.2929489,7.864235,15.419954,3.483577,0.2897385,7.922938
140,15.909593,3.039098,0.26260424,8.485436,15.488507,3.0210948,0.2597114,8.550119
150,13.849581,3.3109374,0.23808852,9.16055,14.788367,3.4189324,0.23628041,9.2312565
160,16.836615,3.388421,0.21846624,9.898794,15.144697,3.7107763,0.21768358,9.977517
170,14.946813,3.7609973,0.21475664,10.701589,17.08465,3.4345403,0.21319005,10.785652
180,13.82064,3.5732436,0.20051022,11.568245,15.72243,3.458214,0.19971281,11.659662
190,12.932863,3.5430999,0.18944164,12.505137,15.576377,3.810326,0.1881887,12.606189
200,16.178045,3.4819167,0.16843084,13.52067,14.681689,2.9495978,0.16681518,13.624832
210,15.146222,2.857496,0.14690027,14.616115,16.235176,3.7132764,0.14542247,14.7315035
220,15.369447,3.3060958,0.13546817,15.796518,15.440517,2.8050869,0.13455722,15.919115
230,15.4312525,3.3858082,0.126867,17.061935,14.824772,3.5046387,0.12605298,17.192905
240,16.230385,3.1360123,0.11904482,18.413822,15.946626,3.593208,0.11830793,18.554281
250,16.135788,3.1739023,0.11204223,19.86293,16.964233,3.3274698,0.11138328,20.013897
260,17.556896,3.3194604,0.105797574,21.410187,14.60514,3.0145147,0.10521487,21.568487
270,13.947013,2.765914,0.10016137,23.055706,15.428833,3.4921708,0.09962787,23.227701
280,13.978207,3.2927103,0.0950642,24.805317,15.011357,3.2911386,0.09457874,24.9856
290,13.864962,3.4348664,0.090382144,26.66068,14.333386,3.4565332,0.089929685,26.852839
300,16.366209,3.3424835,0.086042844,28.629114,14.823129,3.5322053,0.085627824,28.829987
310,15.64413,3.0336878,0.08206583,30.708258,13.899347,3.0549102,0.081688255,30.922693
320,14.101697,3.1272266,0.078456156,32.89979,14.489893,3.1445308,0.078113414,33.12403
330,14.564585,3.2138093,0.07520223,35.20101,13.612867,3.2476544,0.07488735,35.438225
340,13.080838,3.5202277,0.07209648,37.622967,14.218091,3.271821,0.071786284,37.87167
350,14.268476,3.3960521,0.06925718,40.165466,14.443895,3.1315627,0.06899094,40.429092
360,14.755885,3.271952,0.06667366,42.83725,12.223879,3.2417724,0.06641793,43.109722
370,15.69579,3.1154966,0.06414527,45.631847,16.332888,3.0978649,0.063906565,45.920822
380,15.041876,3.0881271,0.062001716,48.557697,14.874037,3.3562632,0.06175431,48.858192
390,14.768217,3.0060878,0.05950867,51.617413,14.265176,3.8324552,0.059269566,51.929707
400,14.857593,3.3686132,0.057446938,54.811474,14.4623,3.9538436,0.057244323,55.138977
410,14.672635,3.1679833,0.056122757,58.144176,13.947458,3.285002,0.055942625,58.488136
420,16.15272,3.3481865,0.054197423,61.61668,14.388483,3.5273957,0.054026626,61.974285
430,14.9014225,3.4117854,0.052497793,65.235535,14.3742075,3.0075865,0.052345354,65.6039
440,14.653607,3.31013,0.051104687,68.99345,12.506779,3.5656583,0.050967835,69.37804
450,13.706784,3.2295482,0.050692916,72.8987,12.795212,3.2208622,0.050500423,73.29695
460,16.056044,3.2161412,0.05163781,76.952675,14.873804,3.421277,0.051193155,77.366806
470,13.436484,3.1925166,0.050790947,81.15213,15.162718,3.1661744,0.050752103,81.58326
480,15.054842,3.1106033,0.04943482,85.51628,14.759678,3.122913,0.04921597,85.959435
490,13.46034,3.2321095,0.04714555,90.02791,14.257551,3.0141816,0.046929937,90.48826
500,14.100697,3.455459,0.04525715,94.705795,16.005533,2.6480777,0.045110255,95.18194
510,16.000093,3.0285141,0.04413093,99.53172,14.176925,3.4376476,0.04403059,100.0233
520,15.128481,3.3536296,0.04454514,104.51322,14.95103,3.0840023,0.04486717,105.02047
530,14.533046,3.3608825,0.04669285,109.646385,14.294808,3.3074148,0.04701523,110.16789
540,13.120248,3.4511728,0.051192533,114.95011,11.885739,3.3346837,0.051848046,115.49203
550,13.58385,3.00784,0.06304078,120.42855,14.273075,3.5116012,0.06430795,120.98613
560,10.565889,3.7062912,0.0759087,126.06699,9.153176,3.5561397,0.07664393,126.62473
570,8.205267,3.692954,0.08060709,131.6901,7.2808604,3.0416589,0.081665836,132.25418
580,8.606002,3.3013043,0.09075898,137.39151,9.666172,3.278276,0.09376153,137.9732
590,9.634818,3.5858688,0.102283105,142.77702,9.557482,3.347706,0.1041141,143.22469
600,6.9412026,4.0604706,0.122524105,147.30008,6.085654,3.1916187,0.121244885,147.7264
610,5.822685,3.2341063,0.12049462,151.5184,5.598664,3.7659118,0.120897174,151.93869
620,5.6215744,3.4606357,0.123411015,155.71854,5.502347,3.8614898,0.12353633,156.1434
630,8.516207,3.4191945,0.12282635,159.90355,8.772956,3.445868,0.122623086,160.32089
640,9.610476,3.2256935,0.12036481,164.11163,8.741064,3.6190023,0.12004622,164.53157
650,10.395829,2.9721572,0.11715418,168.39107,9.385847,3.0098445,0.11683037,168.82376
660,11.836096,3.488538,0.11408444,172.77567,10.346026,3.3176732,0.113802955,173.21497
670,11.158854,2.9372873,0.11140094,177.23099,10.931519,3.1741655,0.1111503,177.68062
680,11.302203,2.8818076,0.10902411,181.7823,11.241434,3.3785965,0.10878781,182.2439
690,10.956077,3.4297593,0.10674497,186.4318,12.1691675,3.8566325,0.10652734,186.90704
700,10.41274,2.911784,0.10467225,191.1991,12.24867,3.1721246,0.10447025,191.68356
710,11.241195,3.165043,0.10269115,196.07333,11.435528,3.3148031,0.10250167,196.56464
720,9.964337,3.5514472,0.10085355,201.05193,10.970318,3.2922418,0.10067785,201.55534
730,11.042157,3.1368716,0.09911309,206.13518,9.676688,2.9452295,0.09894131,206.65259
740,10.104731,3.36809,0.09742592,211.34163,10.799929,2.8831532,0.09726219,211.86719
750,10.628872,3.221672,0.09583615,216.65573,9.276557,3.1586156,0.09568193,217.19385
760,11.882842,3.4985158,0.09435233,222.0859,11.022766,3.284339,0.09420949,222.62875
770,11.695981,3.4010365,0.09292517,227.6193,10.914342,3.337791,0.09278383,228.17627
780,10.851577,3.48781,0.09155627,233.25993,13.390485,3.412536,0.09142177,233.8292
790,11.211883,3.3794732,0.09023497,239.01909,12.206948,2.845104,0.09010464,239.59827
800,12.676654,3.195473,0.08894478,244.89658,11.546217,3.298242,0.088818766,245.49081
810,12.316433,3.4705877,0.08770736,250.89067,13.055698,3.7853496,0.087588385,251.49698
820,12.24979,3.2797816,0.086519964,257.0025,11.203839,3.0246048,0.08640593,257.6164
830,12.001361,2.8945107,0.08538101,263.23242,11.664556,3.0585382,0.08527325,263.8627
840,13.610109,2.8592162,0.08427845,269.58353,11.528115,2.9632304,0.08416966,270.22488
850,12.192629,3.2997046,0.08321403,276.05154,11.7510395,3.3838584,0.0831116,276.7087
860,12.693747,3.1326187,0.0821727,282.6505,11.803958,3.4073617,0.08207017,283.3147
870,12.1336,3.575823,0.0811857,289.34195,12.8388815,3.5666354,0.08108802,290.0174
880,11.950704,3.398039,0.080208115,296.1523,12.484468,3.6175492,0.08011295,296.8427
890,13.4408045,3.3903427,0.079260066,303.09012,12.81887,3.0839636,0.07916162,303.7912
900,11.76273,2.8936906,0.078340754,310.1458,10.9652405,3.3307495,0.07825184,310.85602
910,11.432672,3.4899592,0.077427335,317.32898,10.789675,3.3262248,0.07733774,318.05426
920,11.469906,3.3201602,0.076564535,324.63715,10.874105,3.3747146,0.07647809,325.37335
930,12.713193,3.461403,0.075705536,332.0771,11.293197,3.344867,0.07562188,332.82648
940,11.970237,3.103237,0.074888624,339.63666,10.490311,3.3233032,0.07480796,340.3996
950,13.15945,3.4160717,0.0740891,347.33383,11.669517,2.9172297,0.074009016,348.1067
960,11.298508,3.519214,0.0733061,355.1447,9.683096,3.4166822,0.07322841,355.9332
970,11.2968025,3.0448775,0.072541915,363.0954,12.667751,3.4916677,0.07246659,363.89484
980,11.725415,3.3001022,0.0718201,371.1689,12.854191,3.460759,0.071749315,371.9849
990,10.151227,3.2271292,0.07106836,379.3754,10.573495,3.1100426,0.0709946,380.20255
1000,11.125462,3.4496229,0.07037294,387.71237,12.170802,2.813444,0.07029881,388.55182
1010,12.014457,3.787027,0.069692194,396.1776,10.493628,3.1354985,0.06962444,397.0299
1020,13.254262,3.5047765,0.06898373,404.777,10.985413,3.2093644,0.06891176,405.64157
1030,12.101338,3.261146,0.068308555,413.5042,12.158317,3.3095095,0.06824505,414.38712
1040,12.024265,3.554928,0.0677136,422.36783,11.649184,3.0774353,0.06765185,423.2603
1050,13.583787,2.930011,0.067091376,431.3602,11.893766,2.8634787,0.067032754,432.26447
1060,12.59642,3.2899678,0.0664864,440.4847,12.522623,3.188051,0.0664303,441.40186
1070,11.598967,3.4835622,0.065889776,449.73007,8.803203,3.237088,0.065826535,450.65927
1080,11.598804,3.1027117,0.06520773,459.11752,11.454744,2.7917418,0.06513391,460.06583
1090,12.059309,3.4895604,0.06456263,468.63568,9.372622,3.235595,0.06449933,469.5918
1100,11.621085,3.1044395,0.063967034,478.29184,10.324203,3.248971,0.0639137,479.26294
1110,11.177975,3.226844,0.063397385,488.08115,11.786501,3.0813968,0.06332999,489.07047
1120,12.362748,3.4635818,0.06281746,498.0119,13.04331,3.2259104,0.062759474,499.01367
1130,11.8944235,3.2423823,0.062271684,508.07928,11.103475,3.3296933,0.062214237,509.09375
1140,12.120683,3.212144,0.061791934,518.2785,10.855104,3.4902675,0.06174885,519.3074
1150,12.345968,3.517093,0.06130766,528.6245,10.6486225,3.13557,0.061260212,529.66376
1160,13.220213,3.495314,0.060812682,539.10315,11.096984,2.8214345,0.060753576,540.15515
1170,11.067469,3.4180176,0.060304083,549.7206,11.28309,3.096836,0.060257953,550.7917
1180,11.785604,3.0629222,0.059801556,560.48114,11.876113,3.4015436,0.059748083,561.563
1190,10.636045,3.3422012,0.05928033,571.37537,11.806995,3.2815905,0.05922987,572.47144
1200,11.840137,3.866727,0.05877752,582.4154,11.313006,3.1379974,0.058737803,583.5264
1210,10.265674,3.5757074,0.05838456,593.5934,11.63888,3.3204763,0.058347415,594.7203
1220,10.604831,3.248541,0.05794686,604.91876,11.225283,3.3539634,0.057895146,606.0621
1230,13.453854,3.2468302,0.057375006,616.3882,11.925345,3.3119593,0.057316072,617.54175
1240,11.364138,3.2299194,0.056806095,627.98303,10.912519,2.7713597,0.056750126,629.14874
1250,10.615585,3.289032,0.056300808,639.72406,9.539228,3.3880098,0.056252647,640.904
1260,10.323552,3.268763,0.055800147,651.605,10.3415985,3.7013006,0.055747204,652.8029
1270,11.350751,3.1952615,0.055293787,663.6361,10.307727,3.7183683,0.055246077,664.847
1280,11.3831005,3.4263413,0.054855414,675.8043,9.921911,3.618152,0.0548099,677.02966
1290,12.166423,3.146315,0.054410093,688.13,9.637966,3.20001,0.054368716,689.3656
1300,9.37844,3.6541076,0.053990684,700.58826,10.8794,3.5067382,0.053948075,701.83966
1310,10.319175,2.9239397,0.053577386,713.1977,11.749523,2.9161835,0.053536616,714.468
1320,12.456225,3.3362443,0.05315008,725.95276,11.111392,3.704083,0.053106807,727.23645
1330,12.004793,3.3015425,0.05274434,738.85254,10.998038,3.4325125,0.052702837,740.14636
1340,10.761395,3.7311387,0.05230869,751.90106,11.4620905,3.6188965,0.05226664,753.2134
1350,10.859723,3.5950978,0.051919293,765.0853,9.776583,3.548059,0.05187734,766.413
1360,12.597525,3.535973,0.05148838,778.4386,10.642081,3.2021897,0.051448256,779.7798
1370,10.391862,2.7083583,0.0510674,791.91833,10.360489,3.1364987,0.051025234,793.27246
1380,12.1213665,3.0022495,0.05069525,805.54816,11.924302,3.2969234,0.05066631,806.9184
