iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,0.3569702,0.11471725,0.32061264,0.081118695
20,0.3445026,0.08239834,0.32178804,0.08742037
30,0.31998608,0.088367894,0.3385991,0.102835536
40,0.4886393,0.09653668,0.3215662,0.102805
50,0.34281784,0.101210214,0.359003,0.093193196
60,0.40489545,0.09214843,0.38022792,0.09044512
70,0.37525257,0.09600629,0.34153876,0.096666254
80,0.34992626,0.08849373,0.37046853,0.0856054
90,0.4139539,0.081232384,0.38992164,0.082534805
100,0.34017137,0.09561063,0.3782434,0.08700777
110,0.34043846,0.08872177,0.39256355,0.080851525
120,0.4140214,0.08444656,0.37668735,0.07442996
130,0.33019784,0.089192815,0.35160834,0.07764546
140,0.38622335,0.0998712,0.34780043,0.08757303
150,0.366726,0.081933126,0.28542966,0.09297609
160,0.37861004,0.089285985,0.34823602,0.07541941
170,0.34100264,0.09698798,0.38763323,0.094687015
180,0.38650787,0.08128963,0.41114512,0.07587622
190,0.39149323,0.079687215,0.3825884,0.08357274
200,0.38207263,0.077920675,0.3992697,0.08544343
210,0.3828492,0.08221082,0.35533407,0.09315038
220,0.38532528,0.087157436,0.36224747,0.08508273
230,0.41043702,0.07519388,0.37321964,0.085938096
240,0.39136627,0.09038246,0.40772346,0.08553837
250,0.38360596,0.09158293,0.330801,0.07555391
260,0.4239345,0.09192233,0.36103302,0.076697685
270,0.37372753,0.087398924,0.34793586,0.09448333
280,0.3200571,0.073687285,0.36809865,0.0805734
290,0.36601725,0.070050836,0.39173964,0.083644345
300,0.31465352,0.09009378,0.30277717,0.072240144
310,0.3725223,0.088824,0.37107456,0.089112185
320,0.42070922,0.08749025,0.3780154,0.07987702
330,0.37093538,0.08695672,0.3499816,0.08991038
340,0.25819775,0.13060705,0.21685962,0.09693186
350,0.25644758,0.08807407,0.22378336,0.09473387
360,0.2257501,0.09276316,0.20781638,0.088410586
370,0.28694898,0.07978794,0.27782688,0.08873711
380,0.23490329,0.10177973,0.27083117,0.087830625
390,0.24708161,0.09368253,0.25440025,0.08644142
400,0.27203766,0.09481384,0.269823,0.10092341
410,0.30962697,0.09420836,0.3482607,0.083751805
420,0.337864,0.09310326,0.36412162,0.0942212
430,0.3771038,0.07407446,0.3475829,0.09475444
440,0.36029798,0.08599423,0.37830368,0.08758537
450,0.3514474,0.0855645,0.3155554,0.07598255
460,0.41561463,0.08456885,0.40320313,0.07466082
470,0.39269733,0.07965852,0.38011253,0.08162835
480,0.35868174,0.08126356,0.35735375,0.08265808
490,0.38559145,0.07556322,0.38769776,0.08018758
500,0.37847975,0.07311706,0.35791576,0.0737332
510,0.3310893,0.06754805,0.36638793,0.077164695
520,0.39202482,0.08028512,0.34894097,0.07486784
530,0.4185853,0.0715619,0.43375543,0.07639177
540,0.44228998,0.06645607,0.41717097,0.08395162
550,0.45088875,0.062273465,0.374174,0.065943085
560,0.41203174,0.06485025,0.413294,0.060161214
570,0.39193657,0.056245074,0.42135715,0.07702243
580,0.47343996,0.05190448,0.4728671,0.0878613
590,0.45539778,0.056031313,0.4476032,0.06958552
600,0.435504,0.056387436,0.48189518,0.07967305
610,0.4266234,0.041405074,0.39393994,0.079201475
620,0.49008405,0.053401127,0.4163292,0.06991242
630,0.4850675,0.054176312,0.46772948,0.07947842
640,0.49838135,0.039438058,0.45668367,0.06134098
650,0.4762916,0.03790551,0.54303414,0.0574129
660,0.5519922,0.0393701,0.50871426,0.0671487
670,0.5196677,0.04191961,0.45206058,0.060145088
680,0.49276942,0.043399967,0.5217265,0.059989467
690,0.48324007,0.03659192,0.48532984,0.06537376
700,0.5062621,0.030286225,0.5356525,0.058488276
710,0.53930676,0.027312811,0.5128234,0.057360157
720,0.5682642,0.028996414,0.5329857,0.06542598
730,0.4861886,0.030597178,0.51514435,0.05116273
740,0.4644648,0.022598188,0.5194638,0.0700992
750,0.518926,0.026332831,0.48402226,0.054467384
760,0.5280482,0.018527675,0.4532646,0.049514208
770,0.511208,0.0183905,0.53077257,0.054872297
780,0.56798947,0.022977082,0.48530164,0.05767976
790,0.5829123,0.018084358,0.53438324,0.05074153
800,0.5461393,0.023810972,0.5165082,0.057491526
810,0.5723938,0.024027312,0.5101391,0.073277906
820,0.5276085,0.023301583,0.53589135,0.06590474
830,0.5664521,0.022752075,0.48401272,0.053368125
840,0.4889827,0.016891293,0.5377203,0.057083353
850,0.5617478,0.017547246,0.5371641,0.062154006
860,0.5151728,0.014848214,0.46705696,0.0559983
870,0.5572161,0.015269224,0.5111378,0.07400188
880,0.5910025,0.016327385,0.50729156,0.05669375
890,0.5440065,0.019394659,0.541672,0.06742935
900,0.5590738,0.012037057,0.50829196,0.046452597
910,0.55104315,0.014413613,0.501377,0.06495207
920,0.56602794,0.016424837,0.5093146,0.06549737
930,0.55162823,0.01321517,0.48845053,0.07224072
940,0.5533482,0.013141373,0.52162313,0.058058128
950,0.5760533,0.010415181,0.5034172,0.05054624
960,0.5545733,0.012269276,0.51543957,0.07324702
970,0.5262856,0.011347076,0.5275289,0.062856644
980,0.58801895,0.013340759,0.531606,0.05031326
990,0.5818176,0.010510662,0.5724385,0.057437666
1000,0.53538334,0.013211707,0.55726993,0.050150957
1010,0.5658606,0.010051022,0.52014446,0.058062565
1020,0.67922884,0.012457513,0.60154873,0.06555023
1030,0.66232437,0.008279034,0.73984104,0.048664805
1040,0.6592139,0.015261901,0.62255824,0.048250504
1050,0.6364595,0.011331243,0.57765216,0.05270142
1060,0.55631816,0.0071784803,0.59115005,0.056684624
1070,0.5647784,0.014771088,0.5461298,0.05356879
1080,0.5605422,0.0073075434,0.5649054,0.075789146
1090,0.551068,0.008691715,0.5573786,0.0630086
1100,0.534625,0.0065465593,0.5807143,0.07426471
1110,0.6711637,0.005811415,0.6033094,0.068387784
1120,0.55421424,0.009934751,0.57311195,0.06920789
1130,0.56038845,0.008579522,0.5628576,0.053382967
1140,0.5524184,0.007889663,0.546787,0.06641062
1150,0.5758161,0.007604769,0.60673064,0.06003048
1160,0.5745707,0.008083689,0.60028815,0.057757124
1170,0.59424186,0.0049414546,0.5750133,0.053104345
1180,0.5622996,0.008181402,0.6051775,0.06929138
1190,0.58932865,0.0079756975,0.534668,0.068514496
1200,0.6139239,0.008143337,0.5804842,0.056207035
1210,0.5744303,0.009179137,0.5804525,0.052927133
1220,0.5736967,0.0077094403,0.54771936,0.07623208
1230,0.59262913,0.0076906253,0.555864,0.088545576
1240,0.5798312,0.006956131,0.5332709,0.06546945
1250,0.55708146,0.00465321,0.517127,0.07177581
1260,0.5915413,0.0048924102,0.5635773,0.07814361
1270,0.55120414,0.005506162,0.5769679,0.067246296
1280,0.5991992,0.0037310054,0.587168,0.059564393
1290,0.540864,0.0067504724,0.52548146,0.064601384
1300,0.6037211,0.0057671904,0.5689228,0.07626934
1310,0.5359781,0.0077621895,0.57406646,0.05315148
1320,0.5817496,0.0070737544,0.56659925,0.061777867
1330,0.5485553,0.005761547,0.52233934,0.062027335
1340,0.5985394,0.009492865,0.5779142,0.073046304
1350,0.56279045,0.008491773,0.53876114,0.062313177
1360,0.51850647,0.00566713,0.59177905,0.06839789
1370,0.51738226,0.0046998085,0.5097759,0.053884212
1380,0.56819826,0.007999591,0.5358476,0.0633113
1390,0.6301787,0.004500653,0.579398,0.061309464
1400,0.55612296,0.0062498543,0.55995816,0.07659148
1410,0.54537404,0.0062788734,0.5767471,0.077616245
1420,0.608537,0.0105102835,0.5224838,0.054413952
1430,0.56684023,0.006492424,0.5262215,0.06772431
1440,0.5522582,0.006345652,0.49727374,0.059399206
1450,0.5771341,0.005092017,0.5642135,0.06351345
1460,0.6138307,0.0053886534,0.5821701,0.09624049
1470,0.5674865,0.0038592115,0.5448154,0.045997288
1480,0.59486854,0.0035536399,0.5985771,0.074325405
