iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.1,0.09375,0.10625,0.10625
20,0.1,0.1,0.1125,0.087500006
30,0.1,0.10625,0.10625,0.1125
40,0.10625,0.10625,0.1,0.1125
50,0.09375,0.10625,0.08125,0.087500006
60,0.09375,0.1125,0.13125,0.1125
70,0.1,0.14375,0.1,0.15625
80,0.112500004,0.15625,0.0875,0.175
90,0.10625,0.21875,0.10625,0.16875002
100,0.09375,0.19375001,0.081250004,0.16250001
110,0.1125,0.22500001,0.0625,0.1875
120,0.112500004,0.21875,0.087500006,0.1875
130,0.15625,0.17500001,0.11875,0.20625001
140,0.10625,0.25625,0.09375,0.19375
150,0.1375,0.25625002,0.118750006,0.23124999
160,0.118750006,0.225,0.087500006,0.23750001
170,0.14375,0.22500001,0.056250002,0.21875
180,0.15,0.25625,0.1875,0.28125
190,0.11875,0.25,0.11875,0.25625002
200,0.118750006,0.2625,0.15,0.21875
210,0.15625,0.34375,0.1,0.25625002
220,0.15,0.28750002,0.06875,0.2875
230,0.1125,0.28750002,0.081250004,0.3
240,0.13125,0.28125,0.1125,0.2625
250,0.1375,0.30625,0.075,0.28125
260,0.15,0.38125002,0.1125,0.35000002
270,0.13125001,0.29375,0.04375,0.35625
280,0.11875,0.35625,0.075,0.31875002
290,0.15625,0.34375,0.13125,0.36875004
300,0.13125001,0.3875,0.075,0.375
310,0.112500004,0.375,0.1125,0.30624998
320,0.125,0.39999998,0.08125,0.35000002
330,0.14375,0.4,0.10625,0.3875
340,0.11875,0.4375,0.10625,0.35625
350,0.2,0.41875,0.06875,0.40625
360,0.14375001,0.45,0.09375,0.41250002
370,0.15,0.36874998,0.081250004,0.34375
380,0.14375001,0.40625,0.05,0.4125
390,0.15625,0.41250002,0.075,0.4375
400,0.15625,0.48125,0.075,0.41875002
410,0.125,0.425,0.1125,0.48125
420,0.10000001,0.425,0.0625,0.425
430,0.1625,0.47499996,0.10625,0.425
440,0.15,0.46875003,0.06875,0.375
450,0.19375,0.46250004,0.05,0.4
460,0.18125,0.47500002,0.1,0.4
470,0.1625,0.45625,0.075,0.44375002
