iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.1015625,0.09375,0.096875004,0.10625
20,0.1,0.1,0.1,0.10625
30,0.1,0.103125006,0.103125006,0.10625
40,0.10625,0.115625,0.096875,0.10625
50,0.118750006,0.12499999,0.09375,0.10625
60,0.10625,0.121874996,0.1,0.140625
70,0.10625,0.153125,0.075,0.134375
80,0.109375,0.1875,0.096875004,0.20625001
90,0.115625,0.19375,0.10937501,0.196875
100,0.096875,0.209375,0.10625,0.19375
110,0.087500006,0.196875,0.1,0.190625
120,0.1125,0.196875,0.10625,0.2
130,0.08125,0.184375,0.096875,0.20625001
140,0.075,0.22187501,0.118750006,0.209375
150,0.10625,0.21875,0.103125006,0.20625001
160,0.128125,0.2,0.1,0.18125
170,0.1125,0.203125,0.09375,0.19375
180,0.090625,0.2,0.1,0.196875
190,0.084375,0.196875,0.0875,0.22187501
200,0.087500006,0.203125,0.084375,0.190625
210,0.08125,0.215625,0.096875004,0.203125
220,0.1,0.2125,0.103125006,0.19375001
230,0.09375,0.2,0.115625,0.228125
240,0.109375,0.209375,0.121875,0.228125
250,0.1,0.221875,0.096875,0.20000002
260,0.081250004,0.2125,0.071875,0.20625001
270,0.087500006,0.203125,0.09375,0.20625001
280,0.118750006,0.24375,0.087500006,0.2125
290,0.103125006,0.2125,0.078125,0.20625
300,0.096875,0.20937501,0.08125,0.23124999
310,0.065625,0.253125,0.103125006,0.240625
320,0.10625,0.25625002,0.0625,0.21875
330,0.090625,0.259375,0.125,0.25
340,0.075,0.29375,0.084375,0.28750002
350,0.0875,0.24687499,0.090625,0.265625
360,0.078125,0.290625,0.06875,0.29375
370,0.075,0.28125,0.09375,0.3
380,0.125,0.303125,0.090625,0.296875
390,0.109375,0.315625,0.103125,0.3
400,0.071875006,0.309375,0.109375,0.3125
410,0.10625,0.3375,0.112500004,0.325
420,0.0875,0.34687498,0.103125006,0.33125
430,0.084375,0.375,0.103125006,0.35625
440,0.1,0.36875,0.087500006,0.359375
450,0.103125006,0.375,0.096875004,0.38125002
460,0.112500004,0.35625,0.11875,0.38437504
470,0.134375,0.35625,0.10625,0.33437502
480,0.109375,0.375,0.06875,0.35000002
490,0.103125006,0.44062498,0.103125,0.34375
500,0.106249996,0.41875002,0.09375,0.38125002
510,0.10625,0.453125,0.128125,0.36875
520,0.1125,0.41875,0.115625,0.390625
530,0.08125,0.4375,0.078125,0.415625
540,0.109375,0.4625,0.103125006,0.415625
550,0.087500006,0.425,0.109375,0.41250002
560,0.118750006,0.40625,0.096875004,0.43125
570,0.109375,0.421875,0.084375,0.41562504
580,0.09375,0.421875,0.078125,0.41875002
590,0.118750006,0.446875,0.1375,0.43125004
600,0.103125006,0.440625,0.09375,0.4375
610,0.1,0.4625,0.084375,0.44687498
620,0.09375,0.45625,0.087500006,0.453125
630,0.059375,0.49687502,0.081250004,0.45000002
640,0.10625,0.50312495,0.090625,0.46249998
650,0.096875004,0.4875,0.071875006,0.44375
660,0.103125006,0.49374998,0.1,0.48125
670,0.059375,0.47500002,0.121875,0.471875
680,0.13125,0.50312495,0.11875,0.4875
