iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.0546875,0.043750003,0.03125,0.034375
20,0.05625,0.046875,0.043750003,0.053125
30,0.046875,0.053125,0.046875,0.043750003
40,0.053125,0.059375003,0.0375,0.053125
50,0.053125,0.065625,0.040625,0.05
60,0.043750003,0.05,0.05625,0.05
70,0.056250002,0.05,0.046875,0.06875
80,0.05,0.05,0.03125,0.040625
90,0.046875,0.05625,0.05,0.043750003
100,0.043750003,0.040625,0.043750003,0.0375
110,0.043750003,0.056250002,0.043750003,0.040625002
120,0.05625,0.05625,0.0625,0.053125
130,0.040625,0.049999997,0.059375003,0.046875
140,0.05,0.04375,0.05625,0.0375
150,0.059375003,0.065625,0.056250002,0.06875
160,0.05,0.043750003,0.05,0.05625
170,0.053125,0.059375,0.05,0.056250002
180,0.043750003,0.046875,0.053125,0.050000004
190,0.059375,0.059375,0.0375,0.0375
200,0.059375,0.0625,0.046875,0.043750003
210,0.05,0.05625,0.046875,0.040625
220,0.05625,0.0625,0.043750003,0.034375
230,0.05,0.059375003,0.065625,0.040625
240,0.043750003,0.053125,0.043750003,0.040625
250,0.046875,0.046875,0.046875,0.05
260,0.034375,0.075,0.034375,0.046875
270,0.05625,0.043750003,0.059375003,0.040625002
280,0.059375003,0.034375,0.05,0.046875
290,0.068749994,0.034375,0.065625,0.046875
300,0.05,0.053125,0.059375003,0.046875
310,0.046875,0.065625,0.06875,0.034375
320,0.0625,0.059375003,0.05,0.078125
330,0.043750003,0.053125,0.053125,0.0625
340,0.078125,0.0375,0.053125,0.034375
350,0.053125,0.046875,0.05625,0.046875
360,0.034375,0.034375,0.0625,0.040625002
370,0.040625,0.040625,0.046875,0.04375
380,0.05,0.043750003,0.043750003,0.043750003
390,0.05,0.059375,0.065625,0.043750003
400,0.06875,0.05625,0.053125,0.043750003
410,0.05,0.059375,0.059375,0.043750003
420,0.053125,0.071875006,0.05625,0.043750003
430,0.046875,0.05,0.040625002,0.04375
440,0.0625,0.05625,0.046875,0.04375
450,0.053125,0.040625,0.053125,0.065625
460,0.05,0.053125,0.05,0.046875
470,0.046875,0.046875,0.0625,0.040625
480,0.046875,0.04375,0.053125,0.05
490,0.065625,0.059375003,0.046875,0.0625
500,0.075,0.0625,0.043750003,0.05625
510,0.0625,0.05,0.043750003,0.05
520,0.043750003,0.0625,0.028125,0.046875
530,0.05625,0.046875,0.046875,0.03125
540,0.053125,0.05,0.053125,0.043750003
550,0.046875,0.043750003,0.0375,0.043750003
560,0.05,0.05,0.053125,0.040625002
570,0.043750003,0.040625002,0.043750003,0.05625
580,0.021875,0.046875,0.05625,0.046875
590,0.04375,0.043750003,0.050000004,0.05
600,0.0625,0.05625,0.05625,0.040625002
610,0.0625,0.046875,0.046875,0.053125
620,0.0375,0.05625,0.071875006,0.0625
630,0.043750003,0.053125,0.059375003,0.046875
640,0.049999997,0.040625,0.053125,0.040625002
650,0.0625,0.059375003,0.06875,0.05
660,0.040625002,0.046875,0.043750003,0.05625
670,0.053125,0.05625,0.040625002,0.053125
680,0.0625,0.050000004,0.040625002,0.046875
690,0.068749994,0.056250002,0.05,0.053125
700,0.046875,0.028125,0.046875,0.056250002
710,0.046875,0.040625002,0.0625,0.034375
720,0.046875,0.046875,0.05,0.040625002
730,0.05625,0.046875,0.0625,0.046875
