iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.05,0.051,0.05,0.05
20,0.051999997,0.052,0.051999997,0.054
30,0.054,0.05,0.05,0.051999997
40,0.058000002,0.048,0.054,0.06600001
50,0.051999997,0.048,0.046,0.05
60,0.046000004,0.038000003,0.05,0.05
70,0.056000005,0.054,0.058000002,0.044
80,0.05,0.051999997,0.056000005,0.048
90,0.06,0.052,0.044,0.046000004
100,0.054,0.042000003,0.06,0.07
110,0.051999997,0.048,0.05,0.06
120,0.051999997,0.062,0.044,0.062
130,0.055999998,0.06,0.042000003,0.034
140,0.054,0.051999997,0.051999997,0.05
150,0.044,0.044,0.05,0.05
160,0.048,0.048,0.05,0.046
170,0.076,0.056000005,0.048,0.046000004
180,0.056000005,0.05,0.051999997,0.05
190,0.058000002,0.048,0.046000004,0.058000002
200,0.058000002,0.05,0.051999997,0.055999998
210,0.058000002,0.058000002,0.062,0.06
220,0.062,0.05,0.042000003,0.051999997
230,0.058000002,0.051999997,0.036,0.06
240,0.05,0.053999998,0.06600001,0.046
250,0.052,0.048,0.060000006,0.051999997
260,0.054,0.038,0.058000002,0.04
270,0.051999997,0.048,0.062000003,0.062
280,0.051999997,0.05,0.05,0.06
290,0.05,0.044,0.04,0.042
300,0.048,0.055999998,0.06,0.046
310,0.054,0.05,0.06,0.054
320,0.036,0.036000002,0.06,0.05
330,0.048,0.038000003,0.046000004,0.062
340,0.052,0.044,0.05,0.048
350,0.051999997,0.06,0.051999997,0.042000003
360,0.048,0.046000004,0.05,0.051999997
370,0.054,0.05,0.054,0.05
380,0.054,0.048,0.062,0.058000002
390,0.054,0.05,0.046000004,0.054
400,0.05,0.05,0.054,0.046000004
410,0.05,0.042000003,0.05,0.05
420,0.051999997,0.056000005,0.05,0.05
430,0.05,0.044,0.05,0.05
440,0.05,0.05,0.05,0.04
450,0.05,0.05,0.05,0.05
460,0.05,0.05,0.05,0.051999997
470,0.05,0.042000003,0.042,0.04
480,0.042,0.044,0.05,0.048
490,0.05,0.051999997,0.05,0.05
500,0.05,0.05,0.03,0.04
510,0.06600001,0.046000004,0.062,0.042000003
520,0.046000004,0.044,0.05,0.05
530,0.058000002,0.056000005,0.051999997,0.048
540,0.064,0.05,0.048,0.054
550,0.058000002,0.046000004,0.046,0.042000003
560,0.05,0.048,0.051999997,0.054
570,0.046000004,0.046000004,0.058000002,0.051999997
580,0.042,0.05,0.042000003,0.048
590,0.05,0.036000002,0.048,0.05
600,0.05,0.044,0.054,0.051999997
610,0.056000005,0.054,0.046000004,0.04
620,0.044,0.05,0.055999998,0.058000002
630,0.055999998,0.05,0.042000003,0.048
640,0.05,0.048,0.055999998,0.052
650,0.051999997,0.05,0.068,0.058000002
660,0.042000003,0.046000004,0.04,0.06
670,0.051999997,0.064,0.043999996,0.032
680,0.05,0.06600001,0.05,0.036
690,0.048,0.054,0.05,0.05
700,0.051999997,0.05,0.04,0.04
710,0.05,0.054,0.062000003,0.06
720,0.056000005,0.056000005,0.04,0.044
730,0.042000003,0.034,0.046000004,0.046000004
740,0.042,0.044,0.058000002,0.054
750,0.044,0.054,0.05,0.064
760,0.044,0.046,0.046000004,0.048
770,0.052,0.031999998,0.046000004,0.058000002
780,0.051999997,0.051999997,0.054,0.046000004
790,0.042,0.06,0.046,0.036000002
800,0.046,0.038,0.046000004,0.048
810,0.042,0.051999997,0.064,0.048
820,0.042,0.055999998,0.048,0.036
830,0.038000003,0.06,0.056000005,0.054
840,0.054,0.058000002,0.04,0.06
850,0.058000002,0.038000003,0.051999997,0.051999997
860,0.05,0.048,0.046000004,0.05
870,0.06,0.05,0.054,0.07
880,0.06,0.05,0.042000003,0.046
890,0.042,0.058000002,0.038,0.033999998
900,0.06600001,0.062000003,0.05,0.048
910,0.055999998,0.048,0.058000002,0.044
920,0.05,0.054000005,0.044,0.046
930,0.058000002,0.05,0.046000004,0.06
940,0.06,0.055999998,0.05,0.051999997
950,0.05,0.042,0.048,0.056000005
960,0.054,0.05,0.05,0.054
970,0.03,0.044,0.05,0.04
980,0.044,0.05,0.05,0.05
990,0.042,0.051999997,0.052,0.056000005
1000,0.046000004,0.042,0.051999997,0.048
1010,0.052,0.044,0.05,0.078
1020,0.05,0.058000002,0.048,0.048
1030,0.051999997,0.06,0.042000003,0.046
1040,0.046,0.048,0.042000003,0.05
1050,0.05,0.05,0.05,0.05
1060,0.046000004,0.051999997,0.048,0.067999996
1070,0.042,0.058000002,0.054,0.05
1080,0.042000003,0.044,0.068,0.046000004
1090,0.058000002,0.036,0.04,0.05
1100,0.051999997,0.048,0.04,0.048
1110,0.04,0.062,0.051999997,0.06
