iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_train_params_dist,task_test_acc_pre_optim,task_test_acc_post_optim,task_test_params_dist
10,0.041,0.045999996,2.526202,0.051999997,0.051999997,2.5291057
20,0.068,0.06599999,2.5745184,0.036000002,0.03,2.5816922
30,0.042000003,0.046000004,2.666013,0.054,0.048,2.6723247
40,0.068,0.06,2.7599156,0.05,0.042,2.7711391
50,0.058000002,0.058000002,2.868181,0.02,0.042000003,2.8802474
60,0.074,0.08400001,2.9696517,0.04,0.025999999,2.9786227
70,0.076000005,0.08400001,3.0734477,0.062,0.048,3.0876803
80,0.066,0.078,3.2098198,0.046,0.032,3.220636
90,0.066,0.076,3.3297992,0.048,0.054,3.34419
100,0.07,0.09,3.4872959,0.042,0.07,3.498364
110,0.042000003,0.066,3.6245666,0.076000005,0.078,3.6368096
120,0.074,0.09,3.747598,0.024,0.044,3.7602928
130,0.055999998,0.076000005,3.8883138,0.036000002,0.042,3.90393
140,0.084,0.078,4.0485177,0.060000006,0.052,4.0543065
150,0.064,0.06600001,4.181638,0.012,0.044,4.197745
160,0.066,0.102,4.351244,0.044,0.054,4.361682
170,0.08,0.08,4.4689074,0.056000005,0.046000004,4.480608
180,0.058000002,0.096,4.619788,0.056000005,0.044,4.631372
190,0.078,0.1,4.804561,0.054,0.052,4.8213367
200,0.088,0.102000006,4.987661,0.048,0.062000003,5.0060906
210,0.053999998,0.098000005,5.16597,0.06600001,0.07000001,5.1778116
220,0.078,0.128,5.333529,0.052,0.07400001,5.3482203
230,0.09,0.1,5.508499,0.048,0.068,5.5244455
240,0.07400001,0.13,5.6768446,0.034,0.06,5.6964746
250,0.08799999,0.12,5.8830748,0.058000002,0.09200001,5.9080386
260,0.07000001,0.098000005,6.0997877,0.042000003,0.068,6.1200852
270,0.072000004,0.12,6.2996035,0.034,0.09,6.3216696
280,0.094,0.108,6.504064,0.051999997,0.106000006,6.5207567
290,0.088,0.136,6.6616325,0.028000003,0.09200001,6.672647
300,0.08200001,0.11799999,6.761838,0.054,0.078,6.765195
310,0.066,0.13,6.879686,0.042,0.08400001,6.892997
320,0.08400001,0.14199999,6.9974456,0.05,0.086,7.0069857
330,0.068,0.134,7.1104574,0.068,0.116000004,7.1195917
340,0.08,0.128,7.226433,0.042000003,0.12200001,7.233795
350,0.084,0.172,7.3398466,0.044,0.09799999,7.3480697
360,0.076,0.16800001,7.4662766,0.048,0.102000006,7.479398
370,0.09,0.106000006,7.59151,0.04,0.098000005,7.602619
380,0.094,0.146,7.7431984,0.05,0.106000006,7.7568574
390,0.074,0.12799999,7.8859205,0.05,0.1,7.893361
400,0.072000004,0.13000001,8.007437,0.044,0.111999996,8.012564
410,0.102,0.126,8.102213,0.054,0.1,8.1061
420,0.09,0.13,8.224512,0.055999998,0.103999995,8.235611
430,0.102000006,0.16600001,8.352653,0.048,0.098000005,8.364377
440,0.078,0.15200001,8.490316,0.054000005,0.09799999,8.500101
450,0.086,0.136,8.599414,0.062000006,0.124,8.608089
460,0.088000014,0.14799999,8.7246,0.055999998,0.107999995,8.732209
470,0.084,0.15600002,8.856724,0.024,0.116000004,8.863514
480,0.081999995,0.148,8.981241,0.058000002,0.118,8.991326
490,0.092,0.13200001,9.112933,0.04,0.11,9.120129
500,0.104,0.15400001,9.253595,0.024,0.1,9.263337
510,0.086,0.146,9.412505,0.032,0.108,9.42608
520,0.09800001,0.158,9.556665,0.042,0.128,9.57105
530,0.078,0.15400001,9.69467,0.036000002,0.13,9.710704
540,0.09200001,0.17,9.834654,0.052,0.088,9.845882
550,0.11200001,0.17400001,9.966536,0.07399999,0.102000006,9.9782915
560,0.1,0.162,10.095748,0.036000002,0.096,10.107387
570,0.103999995,0.176,10.230695,0.064,0.094,10.241361
580,0.098000005,0.16,10.366592,0.05,0.126,10.381891
590,0.108,0.128,10.505938,0.05,0.108,10.521147
600,0.088,0.17,10.621167,0.081999995,0.116,10.629672
610,0.094,0.134,10.759105,0.04,0.108,10.768389
620,0.106000006,0.17,10.887502,0.062,0.1,10.896298
630,0.092,0.16400002,11.005341,0.025999999,0.108,11.01306
640,0.108,0.186,11.132175,0.06,0.116000004,11.139492
650,0.106000006,0.15799999,11.24531,0.048,0.084,11.256647
660,0.1,0.174,11.391756,0.046000004,0.088,11.398865
670,0.144,0.17599998,11.519366,0.044,0.12,11.529073
680,0.1,0.17,11.633445,0.034,0.11400001,11.646627
690,0.11400001,0.186,11.774454,0.038000003,0.11799999,11.788638
700,0.102,0.16600001,11.897379,0.05,0.1,11.90375
710,0.11,0.16599998,12.035327,0.036,0.103999995,12.046366
720,0.098000005,0.19,12.176902,0.034,0.116000004,12.193417
730,0.106000006,0.17800002,12.319983,0.038000003,0.102000006,12.332915
740,0.13800001,0.198,12.488978,0.08,0.12,12.501892
750,0.098000005,0.18200001,12.635953,0.05,0.124,12.646761
760,0.12,0.20400001,12.778422,0.04,0.106000006,12.792312
770,0.106000006,0.202,12.893354,0.046,0.126,12.904506
780,0.128,0.19399999,13.028437,0.055999998,0.108,13.043469
790,0.13,0.19400002,13.176031,0.044,0.124,13.18778
800,0.108,0.16,13.303986,0.052,0.124000005,13.315686
810,0.106000006,0.19,13.450969,0.068,0.126,13.459775
820,0.128,0.192,13.622203,0.06,0.12199999,13.634005
830,0.116000004,0.20799999,13.772436,0.05,0.1,13.784769
840,0.11200001,0.17400001,13.878949,0.064,0.102000006,13.891683
850,0.14799999,0.19,14.004293,0.053999998,0.122,14.014647
860,0.126,0.22799999,14.148058,0.054,0.1,14.160074
870,0.116000004,0.19599998,14.279262,0.052,0.128,14.287915
880,0.11399999,0.208,14.421076,0.05,0.138,14.430853
890,0.132,0.162,14.570669,0.04,0.106000006,14.578501
900,0.13200001,0.202,14.707352,0.076000005,0.126,14.719091
910,0.098000005,0.21400002,14.840065,0.042,0.134,14.847742
920,0.094000004,0.18400002,14.982065,0.056000005,0.142,14.994876
930,0.14,0.21,15.137039,0.056000005,0.116000004,15.150311
940,0.11399999,0.184,15.275495,0.062,0.12200001,15.285245
950,0.11399999,0.198,15.418033,0.06,0.12,15.428413
960,0.136,0.216,15.58678,0.038000003,0.098000005,15.602331
970,0.11800001,0.22,15.7310505,0.043999996,0.124000005,15.739107
980,0.10800001,0.2,15.857587,0.054,0.124000005,15.868607
990,0.136,0.22400002,15.987729,0.055999998,0.146,15.999115
1000,0.09,0.204,16.142202,0.042000003,0.104,16.153448
1010,0.116000004,0.20799999,16.29204,0.054,0.12,16.304699
1020,0.144,0.186,16.435818,0.048,0.138,16.438517
1030,0.096,0.214,16.566288,0.036000002,0.11399999,16.575048
1040,0.103999995,0.22599998,16.724964,0.055999998,0.142,16.73851
1050,0.13,0.19,16.895391,0.05,0.132,16.905497
1060,0.116000004,0.25,17.027975,0.072,0.134,17.039175
1070,0.128,0.22799999,17.17635,0.051999997,0.128,17.189178
1080,0.13,0.252,17.322369,0.058000002,0.156,17.33604
1090,0.134,0.23200001,17.468113,0.038000003,0.14400001,17.48047
1100,0.11200001,0.22,17.598913,0.072000004,0.15200001,17.610086
1110,0.104,0.222,17.734295,0.076,0.15200001,17.74446
1120,0.15400001,0.254,17.857237,0.078,0.142,17.866102
1130,0.134,0.236,17.977573,0.048,0.14000002,17.987051
1140,0.138,0.23799999,18.091183,0.051999997,0.15,18.10001
1150,0.152,0.23799999,18.195383,0.05,0.134,18.200993
1160,0.138,0.23599999,18.31431,0.038000003,0.158,18.3222
1170,0.14400001,0.23,18.440702,0.038000003,0.162,18.446268
1180,0.134,0.23,18.558834,0.058000002,0.122,18.566883
1190,0.142,0.24600002,18.674122,0.066,0.158,18.684856
1200,0.12200001,0.22600001,18.802122,0.046,0.128,18.811087
1210,0.14800002,0.25,18.926926,0.05,0.14800002,18.93767
1220,0.134,0.23799999,19.05317,0.05,0.138,19.061123
1230,0.144,0.24,19.165836,0.066,0.142,19.16708
1240,0.126,0.24200001,19.250565,0.036000002,0.13200001,19.25513
1250,0.122,0.24200001,19.347973,0.068,0.13,19.35613
1260,0.16600001,0.23200001,19.476007,0.028000003,0.14400001,19.485023
1270,0.134,0.268,19.586407,0.046,0.146,19.599632
1280,0.12200001,0.238,19.71888,0.062000003,0.162,19.730524
1290,0.13200001,0.23,19.842085,0.04,0.16400002,19.848024
1300,0.14400001,0.256,19.944902,0.056000005,0.144,19.9575
1310,0.16,0.254,20.071514,0.051999997,0.16399999,20.082897
1320,0.152,0.27400002,20.190762,0.04,0.14,20.201408
1330,0.14400001,0.274,20.303211,0.058000002,0.14,20.310818
1340,0.158,0.232,20.419413,0.07,0.16,20.428617
1350,0.13,0.254,20.530548,0.068,0.15,20.535782
1360,0.146,0.282,20.634647,0.051999997,0.128,20.64275
1370,0.103999995,0.254,20.751383,0.025999999,0.136,20.756287
1380,0.124,0.26399997,20.864536,0.06600001,0.16,20.872631
1390,0.138,0.25,20.975111,0.08,0.10599999,20.98485
1400,0.15599999,0.266,21.100838,0.042,0.148,21.113297
1410,0.158,0.264,21.221148,0.054,0.13,21.22741
1420,0.15600002,0.24200001,21.310951,0.04,0.142,21.317425
1430,0.13,0.26400003,21.423773,0.051999997,0.11399999,21.426361
1440,0.144,0.24599999,21.513462,0.051999997,0.136,21.517456
1450,0.16600001,0.24400002,21.608143,0.07000001,0.14,21.611374
1460,0.16600001,0.27400002,21.705643,0.044,0.162,21.70878
1470,0.16600001,0.27,21.812912,0.068,0.142,21.81644
1480,0.146,0.292,21.911255,0.05,0.14600001,21.914806
1490,0.132,0.25599998,22.017796,0.036,0.156,22.025629
1500,0.136,0.25399998,22.125887,0.064,0.16600001,22.129602
1510,0.152,0.254,22.216282,0.051999997,0.16,22.223183
1520,0.18400002,0.292,22.30859,0.060000006,0.144,22.309444
1530,0.128,0.272,22.404453,0.068,0.15,22.410036
1540,0.16399999,0.268,22.50859,0.03,0.14000002,22.518871
1550,0.16600001,0.30400002,22.607615,0.06,0.146,22.61188
1560,0.162,0.268,22.699924,0.032,0.144,22.701283
1570,0.158,0.26399997,22.798244,0.036000002,0.128,22.799633
1580,0.142,0.24399997,22.93346,0.04,0.138,22.93679
1590,0.16,0.294,23.0596,0.042,0.15200001,23.067331
1600,0.15599999,0.25,23.174335,0.06,0.128,23.184225
1610,0.14799999,0.26,23.303371,0.051999997,0.15,23.311485
1620,0.168,0.246,23.424965,0.055999998,0.13400002,23.432135
1630,0.15200001,0.26400003,23.522236,0.048,0.16800001,23.523575
1640,0.172,0.258,23.61647,0.056000005,0.152,23.622944
1650,0.136,0.254,23.722507,0.055999998,0.144,23.724283
1660,0.18200001,0.28800002,23.81732,0.051999997,0.16,23.819876
1670,0.142,0.266,23.908617,0.048,0.168,23.915901
1680,0.148,0.282,24.009579,0.051999997,0.134,24.017332
1690,0.16800001,0.278,24.12462,0.055999998,0.15799999,24.131039
1700,0.17400001,0.26599997,24.235,0.058000002,0.148,24.238535
1710,0.16,0.27,24.33912,0.048,0.16800001,24.346024
1720,0.16600001,0.28,24.434021,0.044,0.146,24.438223
1730,0.16599998,0.314,24.540571,0.05,0.15,24.549103
1740,0.186,0.28,24.650423,0.066,0.14400001,24.656574
1750,0.16400002,0.256,24.75861,0.044,0.142,24.763586
1760,0.16,0.29,24.860584,0.068,0.15599999,24.86677
1770,0.154,0.292,24.972805,0.042,0.156,24.98144
1780,0.18,0.278,25.107546,0.058000002,0.12799999,25.115181
1790,0.14400001,0.24599999,25.231785,0.032,0.16400002,25.237034
1800,0.16400002,0.278,25.350178,0.054,0.14799999,25.357285
1810,0.15,0.27400002,25.453342,0.042000003,0.14,25.459145
1820,0.17,0.282,25.53521,0.034,0.154,25.540298
1830,0.154,0.32,25.646439,0.05,0.14,25.655313
1840,0.16600001,0.282,25.774506,0.058000002,0.17,25.78415
1850,0.176,0.30400002,25.890491,0.06600001,0.146,25.897495
1860,0.19400002,0.23799999,26.010876,0.055999998,0.16,26.01218
1870,0.16400002,0.29799998,26.128815,0.044,0.142,26.133093
1880,0.172,0.298,26.2503,0.06600001,0.136,26.258389
1890,0.2,0.29800004,26.400003,0.055999998,0.146,26.40681
1900,0.158,0.29799998,26.535198,0.051999997,0.156,26.542175
1910,0.154,0.268,26.656963,0.03,0.146,26.659449
1920,0.17799999,0.29799998,26.784708,0.042,0.136,26.794254
1930,0.16399999,0.276,26.914906,0.051999997,0.18200001,26.92731
1940,0.156,0.276,27.047033,0.028000003,0.154,27.058971
1950,0.17799999,0.28199998,27.16867,0.056000005,0.13,27.174076
1960,0.18,0.286,27.26625,0.056000005,0.154,27.273945
1970,0.184,0.314,27.363382,0.044,0.136,27.364511
1980,0.162,0.274,27.457794,0.044,0.154,27.46428
1990,0.18,0.312,27.560196,0.034,0.15200001,27.565327
2000,0.18400002,0.308,27.679035,0.066,0.18200001,27.686289
2010,0.19,0.306,27.787893,0.048,0.15000002,27.792456
2020,0.17799999,0.29,27.89071,0.068,0.142,27.89445
2030,0.17800002,0.29,28.004242,0.042,0.14400001,28.006536
2040,0.18200001,0.30200002,28.128296,0.068,0.15,28.133472
2050,0.184,0.296,28.244635,0.074,0.15799999,28.2504
2060,0.16,0.31,28.364737,0.06,0.162,28.373901
2070,0.172,0.32399997,28.491138,0.078,0.15,28.5018
2080,0.186,0.276,28.610159,0.038000003,0.156,28.614721
2090,0.19,0.32399997,28.70961,0.044,0.15799999,28.711334
2100,0.202,0.35,28.817041,0.046000004,0.156,28.815771
2110,0.148,0.276,28.919952,0.028000003,0.158,28.925564
2120,0.156,0.29,29.047022,0.048,0.174,29.05184
2130,0.176,0.306,29.15928,0.046,0.15200001,29.163944
2140,0.202,0.29,29.273773,0.032,0.17,29.278418
2150,0.172,0.324,29.373205,0.058000002,0.18,29.378986
2160,0.148,0.304,29.500828,0.068,0.13599999,29.503826
2170,0.18,0.296,29.599182,0.036,0.168,29.604267
2180,0.18,0.31,29.700155,0.046000004,0.162,29.703684
2190,0.16800001,0.292,29.808521,0.042,0.14800002,29.815464
2200,0.19400002,0.29999998,29.931976,0.052,0.144,29.933743
2210,0.188,0.284,30.042759,0.053999998,0.134,30.049519
2220,0.16600001,0.30600002,30.136683,0.044,0.16600001,30.145716
2230,0.18200001,0.318,30.259277,0.054,0.144,30.266535
2240,0.192,0.308,30.371761,0.042,0.14800002,30.377157
2250,0.192,0.32799998,30.477854,0.036000002,0.14,30.479467
2260,0.15,0.30400002,30.570099,0.046000004,0.16399999,30.57568
2270,0.19600001,0.32799998,30.684378,0.048,0.146,30.688488
2280,0.17,0.30400002,30.787912,0.06,0.154,30.790272
2290,0.17800002,0.314,30.892038,0.044,0.11400001,30.893732
2300,0.18400002,0.278,30.987848,0.056000005,0.144,30.9906
2310,0.18,0.32599998,31.106009,0.052,0.15200001,31.108429
2320,0.18200001,0.29799998,31.208805,0.048,0.16,31.214182
2330,0.19600001,0.316,31.301945,0.058000002,0.138,31.308247
2340,0.17600003,0.314,31.391285,0.07400001,0.172,31.395641
2350,0.222,0.348,31.492695,0.05,0.16,31.493011
2360,0.20400001,0.342,31.606888,0.032,0.142,31.60551
2370,0.16600001,0.32599998,31.728785,0.051999997,0.15,31.736889
2380,0.19599998,0.292,31.842728,0.046000004,0.15200001,31.84606
2390,0.174,0.274,31.942142,0.06,0.19400002,31.94469
2400,0.18800001,0.29799998,32.04869,0.060000006,0.136,32.051277
2410,0.18200001,0.31399998,32.140564,0.054000005,0.16600001,32.14075
2420,0.198,0.306,32.26186,0.05,0.176,32.268394
2430,0.19600001,0.31,32.356308,0.063999996,0.15,32.3581
2440,0.21400002,0.35800004,32.471638,0.08,0.15799999,32.47515
2450,0.21,0.30200002,32.576286,0.048,0.168,32.582603
2460,0.18200001,0.3,32.70118,0.058000002,0.172,32.706482
2470,0.156,0.29399997,32.81231,0.042,0.156,32.81684
2480,0.18400002,0.35799998,32.92373,0.044,0.16399999,32.92437
2490,0.24,0.32,33.015846,0.044,0.15200001,33.017704
2500,0.236,0.314,33.113136,0.046000004,0.146,33.119423
2510,0.186,0.33800003,33.217564,0.058000002,0.15200001,33.225033
2520,0.176,0.308,33.328827,0.054,0.14800002,33.335636
2530,0.18,0.32,33.437366,0.044,0.162,33.442467
2540,0.18400002,0.3,33.555218,0.048,0.15,33.558907
2550,0.214,0.32599998,33.669014,0.055999998,0.154,33.674477
2560,0.15200001,0.32,33.762848,0.044,0.15799999,33.768238
2570,0.216,0.33,33.868675,0.038000003,0.142,33.86884
2580,0.18599999,0.312,33.976612,0.046000004,0.18,33.97639
2590,0.21200001,0.282,34.07812,0.044,0.17,34.078686
2600,0.21,0.33200002,34.171307,0.064,0.156,34.176704
2610,0.2,0.33200002,34.272392,0.064,0.16,34.27346
2620,0.214,0.33200002,34.370926,0.05,0.17799999,34.378113
2630,0.19399999,0.346,34.472973,0.058000002,0.16,34.47513
2640,0.23799999,0.346,34.557335,0.068,0.142,34.560932
2650,0.24,0.32799998,34.6614,0.068,0.16399999,34.665585
2660,0.19600001,0.33200002,34.760883,0.038000003,0.168,34.764168
2670,0.20799999,0.324,34.856373,0.052,0.13,34.857437
2680,0.198,0.324,34.95101,0.05,0.152,34.951824
2690,0.19399999,0.3,35.0588,0.05,0.16399999,35.061333
2700,0.192,0.314,35.144733,0.04,0.13800001,35.144783
2710,0.222,0.32799998,35.248035,0.05,0.146,35.249706
2720,0.19,0.3,35.355263,0.038,0.14,35.3599
2730,0.22599998,0.33400002,35.476913,0.08,0.17,35.479088
2740,0.188,0.35,35.588226,0.04,0.168,35.58979
2750,0.188,0.33800003,35.690056,0.034,0.146,35.692665
2760,0.21,0.32599998,35.795856,0.036000002,0.142,35.795765
2770,0.19600001,0.31000003,35.891563,0.05,0.162,35.89254
2780,0.24199998,0.35199997,35.962345,0.048,0.14400001,35.961475
2790,0.176,0.32799998,36.05761,0.056000005,0.15,36.05912
2800,0.19400002,0.346,36.158966,0.044,0.14400001,36.159203
2810,0.188,0.33,36.258705,0.058000002,0.176,36.26158
2820,0.246,0.352,36.377205,0.054,0.18,36.375175
2830,0.202,0.33200002,36.474205,0.04,0.16600002,36.47618
2840,0.22399999,0.34800002,36.58312,0.05,0.16400002,36.58331
2850,0.192,0.31800002,36.684338,0.054,0.13200001,36.68813
2860,0.24600002,0.36399996,36.79203,0.051999997,0.162,36.79243
2870,0.202,0.35799998,36.877495,0.062,0.158,36.876778
2880,0.22,0.35399997,36.976524,0.05,0.16,36.97913
2890,0.20799999,0.338,37.080616,0.036000002,0.176,37.07978
2900,0.21800001,0.314,37.185963,0.054,0.16,37.186493
2910,0.198,0.38800004,37.297638,0.078,0.146,37.29782
2920,0.17799999,0.37199998,37.38761,0.028000003,0.15200001,37.39074
2930,0.22600001,0.35,37.48974,0.048,0.144,37.488663
2940,0.22399999,0.344,37.59672,0.042,0.142,37.598778
2950,0.19600001,0.38199997,37.699135,0.048,0.142,37.70273
2960,0.186,0.324,37.795536,0.062,0.144,37.799335
2970,0.18800001,0.36,37.899433,0.046,0.17,37.90335
2980,0.19600001,0.35799998,38.008884,0.04,0.15799999,38.012398
2990,0.19600001,0.366,38.10998,0.064,0.156,38.11465
3000,0.20600003,0.37,38.202084,0.048,0.154,38.199097
3010,0.24,0.36,38.310875,0.05,0.13599999,38.3116
3020,0.186,0.35600004,38.409565,0.03,0.14400001,38.40705
3030,0.21200001,0.33,38.516888,0.058000002,0.142,38.51852
3040,0.216,0.368,38.61067,0.054,0.14,38.616474
3050,0.222,0.36200002,38.730812,0.06,0.16599998,38.738945
3060,0.208,0.368,38.848766,0.036000002,0.15200001,38.84702
3070,0.18800001,0.36,38.945354,0.042000003,0.14800002,38.943916
3080,0.22399999,0.38799998,39.046856,0.046000004,0.13800001,39.049397
3090,0.21,0.35799998,39.132744,0.03,0.14000002,39.132854
3100,0.218,0.324,39.222477,0.042,0.144,39.2235
3110,0.202,0.354,39.32619,0.062,0.158,39.330444
3120,0.24399997,0.34,39.44159,0.058000002,0.15,39.441246
3130,0.23200001,0.35799998,39.52537,0.04,0.162,39.52371
3140,0.2,0.33200002,39.62088,0.048,0.148,39.61855
3150,0.21199998,0.374,39.729294,0.038,0.16,39.730934
3160,0.238,0.35799998,39.827133,0.042000003,0.156,39.83111
3170,0.19,0.33800003,39.923565,0.054,0.154,39.92461
3180,0.20400001,0.39200002,40.029205,0.038000003,0.152,40.03346
3190,0.17,0.366,40.140305,0.034,0.16800001,40.14319
3200,0.24,0.372,40.243713,0.063999996,0.154,40.245342
3210,0.252,0.35599998,40.32778,0.058000002,0.17400001,40.325706
3220,0.234,0.348,40.420837,0.042000003,0.15,40.42396
3230,0.21200001,0.35599998,40.525936,0.040000007,0.19,40.5297
3240,0.22399999,0.35,40.631817,0.044,0.16,40.631783
3250,0.236,0.342,40.733604,0.048,0.172,40.73091
3260,0.2,0.34800002,40.824623,0.043999996,0.18199998,40.825497
3270,0.23200001,0.39399996,40.924416,0.038000003,0.17799999,40.926155
3280,0.19600002,0.32599998,41.0312,0.052,0.18,41.033287
3290,0.202,0.348,41.13186,0.025999999,0.15,41.132072
3300,0.19400002,0.372,41.231934,0.046,0.14400001,41.234074
3310,0.24200001,0.36399996,41.314445,0.044,0.17400001,41.314674
3320,0.236,0.36200002,41.398685,0.048,0.144,41.398262
3330,0.21200001,0.37,41.49424,0.025999999,0.162,41.495502
3340,0.218,0.39800003,41.585457,0.052,0.14,41.58896
3350,0.21200001,0.374,41.69213,0.052,0.15799999,41.69049
3360,0.204,0.35,41.774277,0.044,0.16199999,41.77425
3370,0.21200001,0.378,41.86881,0.06,0.17400001,41.86828
3380,0.23599999,0.38,41.956886,0.044,0.15200001,41.956036
3390,0.24200001,0.38800004,42.052483,0.048,0.18,42.055386
3400,0.24000002,0.372,42.146225,0.07000001,0.148,42.14732
