iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_train_params_dist,task_test_acc_pre_optim,task_test_acc_post_optim,task_test_params_dist
10,0.047,0.045,2.5089395,0.058000002,0.058,2.5121179
20,0.05,0.04,2.5352113,0.056000005,0.05,2.536415
30,0.06,0.055999998,2.5433545,0.046,0.052,2.5442944
40,0.062,0.062,2.5520477,0.056000005,0.056000005,2.5524755
50,0.042000003,0.048,2.5581937,0.034,0.044,2.5589762
60,0.052,0.054,2.5590425,0.048,0.048,2.559298
70,0.042000003,0.046000004,2.5610402,0.051999997,0.042,2.5607297
80,0.044,0.044,2.561856,0.054,0.054,2.5620856
90,0.055999998,0.068,2.5649438,0.051999997,0.056000005,2.5651755
100,0.042000003,0.04,2.570004,0.05,0.06,2.57072
110,0.046000004,0.044000007,2.5714116,0.044,0.048,2.571052
120,0.056000005,0.054,2.5700781,0.048,0.05,2.5698647
130,0.058000002,0.044,2.5695255,0.062,0.051999997,2.5696313
140,0.058,0.048,2.5692258,0.05,0.058000002,2.5691113
150,0.044,0.042,2.5669131,0.05,0.054,2.5667307
160,0.048,0.048,2.5665054,0.05,0.048,2.5664914
170,0.044,0.06,2.5674958,0.06,0.046,2.567614
180,0.056000005,0.04,2.5689025,0.055999998,0.05,2.5691733
190,0.06,0.054,2.5746832,0.046000004,0.051999997,2.575252
200,0.056000005,0.046000004,2.5774033,0.048,0.052,2.5776343
210,0.046000004,0.044000007,2.5832925,0.05,0.05,2.5834925
220,0.068,0.062,2.5858166,0.051999997,0.051999997,2.5860305
230,0.06,0.062,2.5846138,0.048,0.046000004,2.584542
240,0.051999997,0.046000004,2.584309,0.060000006,0.062000003,2.5847008
250,0.062,0.07,2.5862806,0.055999998,0.038000003,2.5865562
260,0.036000002,0.04,2.5890484,0.044,0.058,2.5894508
270,0.05,0.062,2.591225,0.051999997,0.053999998,2.5914826
280,0.046000004,0.064,2.5945997,0.055999998,0.06,2.5948472
290,0.052,0.062000006,2.5976167,0.05,0.048,2.597522
300,0.051999997,0.068,2.5965037,0.051999997,0.05,2.596663
310,0.046000004,0.048,2.595059,0.042000003,0.048,2.5946527
320,0.033999998,0.034,2.593176,0.04,0.046000004,2.5928018
330,0.06600001,0.058000002,2.5931726,0.046000004,0.044,2.5934937
340,0.04,0.034,2.5946107,0.054000005,0.048,2.5943167
350,0.046000004,0.051999997,2.5913634,0.048,0.048,2.591187
360,0.046,0.056000005,2.5906377,0.048,0.046000004,2.5907166
370,0.042000003,0.044,2.5924153,0.046000004,0.042,2.5925956
380,0.054,0.05,2.5948653,0.05,0.048,2.5955224
390,0.054,0.046,2.6018028,0.058000002,0.05,2.6025276
400,0.054,0.054,2.610553,0.04,0.054000005,2.611618
410,0.05,0.05,2.6183581,0.05,0.05,2.6183274
420,0.05,0.05,2.6212513,0.05,0.05,2.6218953
430,0.05,0.05,2.6259842,0.05,0.05,2.626451
440,0.05,0.05,2.6300862,0.05,0.05,2.630375
450,0.05,0.05,2.6321979,0.052,0.05,2.6323307
460,0.05,0.05,2.633078,0.05,0.05,2.6331263
470,0.05,0.05,2.6334195,0.05,0.05,2.6334405
480,0.05,0.05,2.633535,0.05,0.05,2.633534
490,0.05,0.05,2.633525,0.05,0.05,2.6335273
500,0.05,0.05,2.633532,0.05,0.05,2.6335285
510,0.05,0.05,2.6335578,0.05,0.05,2.633559
520,0.048,0.052,2.6335797,0.05,0.05,2.6335797
530,0.05,0.052,2.6335402,0.052,0.055999998,2.6335359
540,0.05,0.05,2.6334946,0.05,0.05,2.6334915
550,0.046000004,0.042,2.633483,0.05,0.05,2.6334834
560,0.054,0.051999997,2.6334894,0.04,0.046000004,2.6334884
570,0.048,0.058000002,2.6334765,0.058000002,0.05,2.6334753
