iter,task_train_acc_pre_optim,task_train_acc_post_optim,task_test_acc_pre_optim,task_test_acc_post_optim
10,0.05,0.04296875,0.059375,0.060937498
20,0.05,0.0640625,0.043750003,0.0640625
30,0.071875006,0.05625,0.040625,0.057812497
40,0.065625,0.05625,0.096875,0.0625
50,0.0625,0.0703125,0.056250002,0.0671875
60,0.059375003,0.08125,0.0484375,0.071875006
70,0.071875,0.10000001,0.084375,0.078125
80,0.099999994,0.1359375,0.0390625,0.079687506
90,0.0890625,0.16874999,0.053125,0.12812501
100,0.0859375,0.14687501,0.06875,0.112500004
110,0.0828125,0.171875,0.042187497,0.15
120,0.103125,0.18125,0.051562503,0.1578125
130,0.0984375,0.19375001,0.0375,0.17031251
140,0.118750006,0.215625,0.048437502,0.18125
150,0.1015625,0.24375,0.0453125,0.1890625
160,0.1125,0.21875001,0.053125,0.19062501
170,0.1265625,0.24687499,0.0390625,0.196875
180,0.1,0.228125,0.03125,0.2421875
190,0.12812501,0.278125,0.057812504,0.2015625
200,0.13125,0.26406252,0.056250002,0.225
210,0.1234375,0.25468752,0.0453125,0.2265625
220,0.1140625,0.3140625,0.0546875,0.21875
230,0.1328125,0.275,0.050000004,0.221875
240,0.103125,0.29375,0.0515625,0.2421875
250,0.1328125,0.30624998,0.0390625,0.25
260,0.1421875,0.315625,0.0609375,0.259375
270,0.121875,0.3125,0.053125,0.25
280,0.1359375,0.32968754,0.059375003,0.25312498
290,0.128125,0.34218752,0.057812497,0.265625
300,0.1421875,0.3640625,0.0640625,0.2703125
310,0.1328125,0.3765625,0.040625002,0.2609375
320,0.140625,0.3671875,0.0484375,0.31093752
330,0.15937501,0.3515625,0.05625,0.3203125
340,0.13125,0.3828125,0.0671875,0.29999998
350,0.15625,0.4078125,0.0375,0.2859375
360,0.13906251,0.390625,0.0375,0.2890625
370,0.1640625,0.403125,0.068749994,0.3
380,0.153125,0.41875,0.0765625,0.32187498
390,0.13593751,0.40625,0.0640625,0.3328125
400,0.1609375,0.4125,0.079687506,0.3453125
410,0.1625,0.4265625,0.0703125,0.34375
420,0.16718751,0.4078125,0.04375,0.321875
430,0.15,0.43125,0.0375,0.3375
440,0.15625,0.4109375,0.0609375,0.34531248
450,0.1765625,0.4515625,0.0703125,0.328125
460,0.1421875,0.453125,0.0578125,0.31875002
470,0.19843751,0.45156252,0.0375,0.36875
480,0.1546875,0.4765625,0.0484375,0.334375
490,0.175,0.440625,0.035937503,0.34062502
500,0.1640625,0.45937502,0.05,0.365625
510,0.16718751,0.4734375,0.0484375,0.3421875
520,0.1796875,0.46875,0.0578125,0.3859375
530,0.1546875,0.5078125,0.0625,0.3828125
540,0.1546875,0.47343752,0.040625002,0.3703125
550,0.1875,0.52656245,0.0484375,0.3953125
560,0.15937501,0.5109375,0.0421875,0.38593748
570,0.178125,0.5265625,0.0515625,0.3984375
580,0.19843751,0.5171875,0.043750003,0.39687502
590,0.20156251,0.53437495,0.059375,0.41093752
600,0.1890625,0.5390625,0.057812504,0.3921875
610,0.1796875,0.5375,0.049999997,0.4125
620,0.19062501,0.5328125,0.0546875,0.384375
630,0.190625,0.559375,0.0578125,0.45
640,0.20625001,0.546875,0.04375,0.4265625
650,0.1640625,0.55625,0.042187497,0.4453125
660,0.18125,0.5546875,0.051562503,0.42031252
670,0.19375,0.53749996,0.0484375,0.45
680,0.20625001,0.584375,0.043750003,0.46562502
690,0.2109375,0.56718755,0.057812504,0.4734375
700,0.178125,0.54375,0.05625,0.45937502
710,0.190625,0.5921875,0.059375003,0.46718752
720,0.15781249,0.6015625,0.0453125,0.46718752
730,0.20156251,0.5765625,0.05625,0.484375
740,0.2125,0.6046875,0.043750003,0.4703125
750,0.19375,0.565625,0.064062506,0.4875
760,0.1875,0.58281255,0.049999997,0.4859375
770,0.2,0.58125,0.051562503,0.4609375
780,0.1796875,0.609375,0.0546875,0.4890625
790,0.19375,0.609375,0.034375,0.48125
800,0.2171875,0.5875,0.05,0.44687498
810,0.21875001,0.615625,0.0453125,0.4921875
820,0.23124999,0.58125,0.0484375,0.4703125
830,0.196875,0.6234375,0.040625002,0.5015625
840,0.24531251,0.6234375,0.046875,0.5078125
850,0.19999999,0.646875,0.049999997,0.528125
860,0.203125,0.6046875,0.050000004,0.53125
870,0.2328125,0.628125,0.03125,0.5015625
880,0.2109375,0.64375,0.0609375,0.5046875
890,0.2375,0.6515625,0.0375,0.5296875
900,0.2171875,0.640625,0.05625,0.50625
910,0.1796875,0.640625,0.05,0.5140625
920,0.2234375,0.68125,0.057812504,0.5265625
930,0.228125,0.64375,0.059375,0.50625
940,0.1875,0.646875,0.0390625,0.509375
950,0.21875,0.6796875,0.056250002,0.50625
960,0.2125,0.678125,0.043750003,0.50624996
970,0.225,0.671875,0.0453125,0.509375
980,0.2421875,0.640625,0.0390625,0.4890625
990,0.2296875,0.634375,0.0390625,0.5421875
1000,0.24531251,0.66249996,0.0578125,0.5546875
