iter,task_train_loss_pre_optim,task_train_loss_post_optim,task_test_loss_pre_optim,task_test_loss_post_optim
10,1.1836331,0.75833404,1.2561926,0.23643042
20,1.2341583,0.13368434,1.1603628,0.18257819
30,1.1140392,0.15821964,1.2221867,0.17815122
40,1.3547698,0.18637004,1.1555291,0.1624079
50,1.2671554,0.17081332,1.2186906,0.16967848
60,1.1175288,0.18108106,1.2292176,0.241664
70,1.2135524,0.20904434,1.2587123,0.22599496
80,1.1782157,0.20330349,1.1031373,0.13205083
90,1.2368186,0.21617451,1.1225418,0.23189537
100,1.0992941,0.15463436,1.0696757,0.23770261
110,1.1412281,0.1400867,1.2283726,0.23501708
120,1.1171862,0.18936637,1.0935147,0.16890945
130,1.1232036,0.14597239,1.2916809,0.24421519
140,0.98518777,0.15454835,1.1142125,0.21934097
150,1.099899,0.13775726,1.0229764,0.21714288
160,1.1799753,0.21766174,1.1039996,0.23426858
170,0.95068455,0.18613677,1.0534846,0.16180591
180,1.0098045,0.19395748,1.0170181,0.19898313
190,1.0502031,0.17671491,0.9868217,0.14137813
200,1.0327846,0.17469886,1.0240564,0.19248661
210,0.9227806,0.17961122,0.8613225,0.13951688
220,1.0489521,0.21137954,0.96483296,0.15960234
230,1.0346509,0.21012796,0.9342702,0.17751664
240,0.9798124,0.16670305,0.8773252,0.15933384
250,0.98939073,0.14288098,0.9861984,0.16111478
260,0.80569136,0.19516413,0.9917296,0.15729952
270,0.8136157,0.16887045,0.9321999,0.21260583
280,0.9273405,0.15224594,0.7875014,0.13514411
290,0.8527702,0.12014423,0.8758326,0.15761752
300,0.84612226,0.20485452,0.9473651,0.2822424
310,0.77675587,0.10656527,0.8331034,0.15791258
320,0.86193335,0.19312641,0.76787376,0.1624341
330,0.83882457,0.17305675,0.8729309,0.18009707
340,0.8231906,0.19877794,1.009958,0.25406164
350,0.8019921,0.149189,0.79488575,0.15462841
360,0.74140656,0.14531282,0.78186315,0.14749116
370,0.76781917,0.16024661,0.6463013,0.14015454
380,0.67341053,0.16538805,0.741494,0.18520124
390,0.7150058,0.19375351,0.82435644,0.20136254
400,0.676299,0.1626189,0.71485215,0.1577616
410,0.79776776,0.15488616,0.73551047,0.23732613
420,0.7178371,0.14549291,0.8487754,0.23660313
430,0.72191954,0.16897535,0.63134944,0.17107642
440,0.6679689,0.1597942,0.7018187,0.17187332
450,0.6073092,0.16111103,0.700344,0.14811079
460,0.6563625,0.16446798,0.6900192,0.18380998
470,0.6468574,0.15558189,0.65792334,0.17046729
480,0.6746373,0.16776231,0.6530074,0.1611901
490,0.5774988,0.11947336,0.6460602,0.13151282
500,0.5826914,0.16786711,0.6000412,0.15469414
510,0.61494184,0.17118244,0.5924304,0.16516387
520,0.59553516,0.16334015,0.5959655,0.17168973
530,0.6195395,0.122856855,0.5562687,0.16048163
540,0.54336,0.13340858,0.57752234,0.21670991
550,0.5291461,0.14135553,0.5779007,0.1604611
560,0.56641877,0.17391098,0.6067147,0.1835064
570,0.59530246,0.19939028,0.51196074,0.1787509
580,0.51276016,0.1746169,0.47550476,0.14305669
590,0.49887416,0.1579358,0.560248,0.19208942
600,0.57957274,0.15490049,0.45590937,0.12630075
610,0.56372845,0.14100093,0.45175344,0.1218125
620,0.5355437,0.15370539,0.48232144,0.14582413
630,0.53021187,0.11526926,0.44270027,0.13766071
640,0.41234428,0.16300611,0.49264088,0.14278428
